score,label
407942,0
538653,0
536954,0
919690,0
380662,0
139700,0
570665,0
342700,0
507360,0
683245,0
467334,0
351887,0
530011,0
605102,0
379442,0
337616,0
413181,0
272516,0
295880,0
364179,0
563967,0
371638,0
497234,0
390674,0
402154,0
1124590,0
229879,0
514344,0
489931,0
181421,0
409391,0
425671,0
337945,0
362686,0
529992,0
531705,0
480429,0
440295,0
399135,0
543167,0
550690,0
416228,0
397578,0
1513185,0
496904,0
504735,0
1720855,0
1522427,0
394764,0
461143,0
196033,0
533423,0
544940,0
318594,0
489904,0
353665,0
431526,0
450806,0
1155089,0
478210,0
515239,0
496538,0
492269,0
547744,0
498388,0
325528,0
523412,0
408413,0
322248,0
258470,0
418290,0
493053,0
424203,0
380011,0
543751,0
453771,0
260417,0
325955,0
865639,0
1700297,0
191259,0
517519,0
376564,0
187979,0
446743,0
402739,0
434936,0
1012605,0
546092,0
365081,0
300934,0
423026,0
251048,0
593396,0
338594,0
442404,0
323834,0
802817,0
284555,0
403135,0
1191060,0
517292,0
343826,0
525645,0
488801,0
762505,0
465736,0
539608,0
2244217,0
485818,0
303765,0
996059,0
559296,0
2409267,0
509189,0
461709,0
512269,0
173253,0
2374238,0
2837656,0
438369,0
384161,0
465678,0
888955,0
463719,0
499581,0
290520,0
327645,0
577842,0
468139,0
320511,0
409140,0
439286,0
403655,0
455366,0
1052054,0
526047,0
415801,0
500080,0
3587327,0
2328480,0
475068,0
418873,0
228175,0
457552,0
462460,0
318063,0
641319,0
492362,0
690783,0
356933,0
532671,0
491671,0
534272,0
737625,0
504962,0
447250,0
875999,0
345611,0
463570,0
538659,0
488813,0
440243,0
706089,0
290871,0
512903,0
357757,0
348338,0
464963,0
229341,0
492594,0
571648,0
412944,0
478171,0
430457,0
1419166,0
545931,0
400637,0
386481,0
498621,0
178373,0
343510,0
425337,0
520148,0
344036,0
426613,0
387542,0
511965,0
462947,0
122708,0
972111,0
511167,0
548082,0
708721,0
375086,0
1185048,0
359763,0
533498,0
576391,0
533988,0
236593,0
389517,0
1200556,0
327699,0
464228,0
3091136,0
360843,0
993071,0
297527,0
362372,0
3844155,0
540519,0
932181,0
503641,0
226281,0
162068,0
563034,0
490831,0
405565,0
495174,0
705066,0
189693,0
529335,0
305260,0
538222,0
1113633,0
559241,0
2260872,0
429117,0
511798,0
221402,0
538429,0
1660393,0
363308,0
380114,0
310435,0
484245,0
330718,0
421899,0
299373,0
183447,0
416853,0
1897799,0
243239,0
346742,0
342329,0
579329,0
313538,0
435579,0
2037401,0
194482,0
481516,0
325955,0
2514074,0
1111153,0
462135,0
467485,0
401362,0
417414,0
374324,0
617968,0
195282,0
337183,0
314096,0
343904,0
435286,0
476387,0
1431391,0
977079,0
256307,0
406289,0
350134,0
1070097,0
567849,0
480856,0
559258,0
548076,0
775552,0
431734,0
1280883,0
536819,0
410590,0
449675,0
468557,0
739918,0
455413,0
448516,0
474271,0
445745,0
1352136,0
366609,0
1783927,0
2917688,0
1359258,0
2601112,0
487492,0
562911,0
562298,0
557522,0
486489,0
485423,0
262856,0
153523,0
475542,0
482726,0
485525,0
566995,0
2270945,0
487868,0
428068,0
478655,0
534975,0
641553,0
526836,0
256816,0
462965,0
544416,0
430873,0
1475865,0
376833,0
1164586,0
526255,0
527367,0
397842,0
1882225,0
417237,0
530064,0
1084681,0
493172,0
579708,0
274990,0
485111,0
382630,0
221510,0
834000,0
507257,0
2080077,0
351956,0
495259,0
382357,0
624662,0
374357,0
357260,0
390314,0
355361,0
278148,0
447456,0
713942,0
448167,0
1874693,0
1811658,0
500726,0
516334,0
270005,0
479799,0
467709,0
524692,0
439667,0
364741,0
540328,0
453808,0
543974,0
3590334,0
621369,0
510118,0
575102,0
856518,0
453019,0
482217,0
516293,0
530991,0
397105,0
491848,0
392921,0
429739,0
278519,0
471340,0
601425,0
532578,0
487438,0
2935301,0
462047,0
417819,0
422393,0
661475,0
669703,0
511375,0
368512,0
500926,0
298229,0
545154,0
466565,0
366814,0
3027079,0
422196,0
360110,0
366219,0
301037,0
464611,0
1090696,0
820997,0
333030,0
433985,0
457073,0
332483,0
463506,0
417179,0
618816,0
772086,0
394616,0
445268,0
311773,0
403884,0
672727,0
166688,0
510454,0
179205,0
511901,0
323132,0
518885,0
834717,0
328482,0
2518427,0
550554,0
398143,0
477877,0
489398,0
382185,0
437958,0
331374,0
214410,0
385310,0
434937,0
437040,0
506447,0
537390,0
524672,0
317030,0
393628,0
368946,0
704123,0
397146,0
513360,0
557191,0
462107,0
984989,0
450505,0
782350,0
1558463,0
420271,0
962578,0
994595,0
669405,0
229964,0
485959,0
377746,0
452728,0
457543,0
299049,0
522836,0
434610,0
268416,0
414493,0
542371,0
278701,0
304977,0
1504355,0
542473,0
477118,0
888516,0
421731,0
311391,0
427575,0
1780900,0
667437,0
452543,0
2471315,0
550605,0
541475,0
889280,0
544576,0
318611,0
294742,0
379241,0
451570,0
489299,0
508815,0
426044,0
1180628,0
551599,0
367409,0
884911,0
345462,0
663780,0
298787,0
550848,0
526332,0
2321174,0
1323441,0
377907,0
256637,0
485996,0
252734,0
178123,0
273521,0
471984,0
517420,0
566915,0
966803,0
605277,0
563323,0
309639,0
432740,0
524477,0
490289,0
250521,0
439909,0
754599,0
225867,0
510948,0
505337,0
438179,0
844682,0
359812,0
434923,0
254764,0
456796,0
386698,0
506463,0
767686,0
537143,0
472928,0
492512,0
379025,0
1128978,0
547852,0
534214,0
270133,0
384551,0
496177,0
483720,0
462161,0
529408,0
551379,0
451821,0
577080,0
346764,0
396464,0
433862,0
1987923,0
507272,0
461964,0
277078,0
360419,0
630801,0
499303,0
687306,0
422842,0
544909,0
399990,0
559485,0
539205,0
487783,0
373261,0
461942,0
412105,0
361182,0
479481,0
1206006,0
429576,0
387548,0
1051888,0
560609,0
448162,0
3153444,0
465334,0
251992,0
385617,0
339613,0
492326,0
539607,0
433392,0
185478,0
794651,0
375929,0
186414,0
397492,0
475664,0
327041,0
368115,0
529201,0
464821,0
525727,0
500459,0
455988,0
540979,0
295294,0
389635,0
649968,0
343202,0
492855,0
308281,0
265956,0
484838,0
1035717,0
410563,0
547632,0
558186,0
497566,0
669843,0
521196,0
339033,0
528208,0
376546,0
462875,0
4013815,0
499622,0
555934,0
338369,0
4437344,0
295145,0
541113,0
450213,0
340499,0
488560,0
